Date,Open,High,Low,Close,Adj Close,Volume
2014-12-10,62.160000,62.240002,60.369999,60.680000,47.131157,29620600
2014-12-11,61.169998,62.060001,61.110001,61.139999,47.488430,16886200
2014-12-12,60.529999,61.220001,59.959999,60.040001,46.634056,17405400
2014-12-15,60.740002,60.810001,58.790001,59.160000,45.950546,19209900
2014-12-16,58.419998,59.860001,58.110001,58.430000,45.383549,20709700
2014-12-17,58.570000,59.830002,58.340000,59.770000,46.424347,17856400
2014-12-18,60.639999,61.480000,60.439999,61.480000,47.752537,18173400
2014-12-19,61.400002,62.349998,61.369999,61.930000,48.102043,22756400
2014-12-22,62.160000,62.330002,61.610001,61.939999,48.109825,17073400
2014-12-23,62.049999,62.970001,61.930000,62.480000,48.529259,13552600
2014-12-24,62.740002,62.869999,62.270000,62.480000,48.529259,7412500
2014-12-26,62.669998,62.889999,62.410000,62.549999,48.583614,6086500
2014-12-29,62.419998,63.340000,62.250000,62.959999,48.902077,10601200
2014-12-30,62.720001,63.279999,62.570000,63.150002,49.049652,7518100
2014-12-31,63.299999,63.490002,62.580002,62.580002,48.606922,18529400
2015-01-02,62.180000,62.959999,62.070000,62.490002,48.849243,12600000
2015-01-05,62.060001,62.279999,60.230000,60.549999,47.332722,20100600
2015-01-06,60.639999,60.750000,58.349998,58.980000,46.105442,29074100
2015-01-07,59.889999,59.889999,58.669998,59.070000,46.175789,23843200
2015-01-08,59.970001,60.900002,59.970001,60.389999,47.207657,16971100
2015-01-09,60.720001,60.790001,59.290001,59.340000,46.386848,15396200
2015-01-12,59.279999,59.400002,58.270000,58.830002,45.988186,15455200
2015-01-13,59.259998,59.700001,58.369999,58.840000,45.996006,21644700
2015-01-14,58.840000,58.840000,55.270000,56.810001,44.409111,49602300
2015-01-15,55.730000,56.610001,54.500000,54.990002,42.986401,42458100
2015-01-16,54.660000,56.000000,54.639999,55.930000,43.721210,29368900
2015-01-20,56.040001,56.389999,55.419998,55.709999,43.549244,23477700
2015-01-21,55.450001,56.419998,55.189999,55.889999,43.689945,21842400
2015-01-22,56.380001,57.730000,55.959999,57.590000,45.018852,31423500
2015-01-23,57.720001,57.869999,56.660000,56.680000,44.307499,15458300
2015-01-26,56.410000,56.990002,56.200001,56.770000,44.377850,12577700
